"code";"url";"product_name";"packaging";"brand"
"8076809529419";"https://world-fr.openfoodfacts.org/produit/8076809529419";"Pâtes Spaghetti au blé complet";"fr:Boîte,fr:Carton,nl:PAP 21,fr:Emballage carton,fr:Recyclage carton, boîte, boîte, Karton, boîte, boîte, boîte, boîte, boîte, packungen";"Barilla"
"8076809571043";"https://world-fr.openfoodfacts.org/produit/8076809571043";"Pâtes Spaghetti Rigati";"carton";"Barilla"
"8076800195033";"https://world-fr.openfoodfacts.org/produit/8076800195033";"Pâtes Spaghettini n.3";"Boîte,Carton,Karton,plastique,Packung(en)";"Barilla"
"8076808150072";"https://world-fr.openfoodfacts.org/produit/8076808150072";"Pâtes Spaghettoni";"fr:Boîte,fr:Carton 100 % recyclable,fr:paquet,fr:karton,fr:boîte en carton,Karton,en:Green dot,boîte";"Barilla"
"8076809545389";"https://world-fr.openfoodfacts.org/produit/8076809545389";"Pâtes Spaghettoni";"Boîte,Carton,fr:Emballage carton,Bocal,Packung(en)";"Barilla"
"8076809523714";"https://world-fr.openfoodfacts.org/produit/8076809523714";"Pâtes Tagliatelle";"boite,carton,boite, plastico, Packung(en), Boîte";"Barilla"
"8076809574624";"https://world-fr.openfoodfacts.org/produit/8076809574624";"Pâtes Tofarelle";"sachet plastique";"barilla, Academia"
"8076809541305";"https://world-fr.openfoodfacts.org/produit/8076809541305";"Pâtes Torsades";"Boîte,Carton,boîte";"Barilla"
"8076809500289";"https://world-fr.openfoodfacts.org/produit/8076809500289";"Pâtes Tortellini aux fromages";"sous atmosphère protectrice";"Barilla"
"8076808890015";"https://world-fr.openfoodfacts.org/produit/8076808890015";"Pâtes Tortellini jambon fromage";"Sachet,Plastique,Frais";"Barilla"
"8076802085837";"https://world-fr.openfoodfacts.org/produit/8076802085837";"Pâtes Tortiglioni";"Carton,Boîte,Karton,box,Packung(en)";"Barilla"
"8076809537711";"https://world-fr.openfoodfacts.org/produit/8076809537711";"Pâtes Trofie";"en:Boîte,en:Carton,en:boîte,en:PAP 21,en:Green dot,fr:Emballage carton,de:Verpackung Karton,fr:Recyclage carton,de:Entsorgung Altpapier, Emballage carton, carton, boîte, Verpackung Karton";"Barilla,La Collezione d'Italia"
"8076809527378";"https://world-fr.openfoodfacts.org/produit/8076809527378";"Pecorino";"Glas, vasetto";"Barilla"
